sampleID,max_prob,prediction
TCGA.V4.A9EW.UVM.C3,0.999985324047357,4
TCGA.CD.8535.STAD.C4,0.9987845670229182,2
TCGA.AA.3514.COAD.C1,0.9997838680882993,2
TCGA.EK.A2RN.CESC.C4,0.9870883737575252,2
TCGA.QR.A6GT.PCPG.C6,0.7607881998386384,3
TCGA.AN.A0XW.BRCA.C1,0.47284745007765594,6
TCGA.DD.A4NJ.LIHC.C3,0.9690918743718843,4
TCGA.P3.A6SX.HNSC.C2,0.9076218586562044,1
TCGA.F5.6571.READ.C3,0.9585627709793889,1
TCGA.SN.A84Y.TGCT.C2,0.8298023788870418,1
TCGA.EY.A1GH.UCEC.C2,0.9882999334186184,1
TCGA.05.5428.LUAD.C2,0.7896330355123227,4
TCGA.BJ.A192.THCA.C4,0.9986667429984756,3
TCGA.AK.3433.KIRC.C3,0.8150789621714254,4
TCGA.E9.A1N4.BRCA.C6,0.8218410126737176,3
TCGA.55.8092.LUAD.C2,0.9241254631228812,3
TCGA.BG.A0W1.UCEC.C4,0.893915450394176,3
TCGA.PT.A8TR.SARC.C4,0.9864668351773703,3
TCGA.DS.A1OC.CESC.C2,0.9208937777177056,1
TCGA.C5.A2M2.CESC.C4,0.9863480874139854,1
TCGA.V1.A9ZG.PRAD.C1,0.973925717914944,3
TCGA.BH.A0DV.BRCA.C3,0.5608456014523522,6
TCGA.E9.A226.BRCA.C2,0.5135301496159285,4
TCGA.CC.A8HS.LIHC.C3,0.9506687286945705,4
TCGA.AG.3586.READ.C2,0.976030398627884,1
TCGA.V1.A8WL.PRAD.C2,0.981446277204194,4
TCGA.75.5126.LUAD.C4,0.9998321621661916,2
TCGA.V4.A9EU.UVM.C3,0.9984479368907272,4
TCGA.55.A494.LUAD.C3,0.6763687659437442,1
TCGA.A2.A0CZ.BRCA.C3,0.9937644344854134,6
TCGA.05.4417.LUAD.C3,0.9669335195837307,6
TCGA.BQ.7046.KIRP.C3,0.9014133786557545,4
TCGA.BH.A1FG.BRCA.C2,0.9801114971211773,4
TCGA.B9.A5W7.KIRP.C3,0.6106781913712623,4
TCGA.DJ.A13W.THCA.C4,0.9999998574187418,3
TCGA.AR.A24M.BRCA.C6,0.8557027564789235,3
TCGA.J2.8192.LUAD.C3,0.9244047969185554,6
TCGA.SY.A9G0.BLCA.C3,0.9725822393506349,1
TCGA.AA.3862.COAD.C2,0.8591703776706673,1
TCGA.KL.8324.KICH.C4,0.9985035956982664,3
TCGA.DK.AA76.BLCA.C4,0.9900900891834737,1
TCGA.BH.A0H7.BRCA.C2,0.569290132207047,1
TCGA.S7.A7WN.PCPG.C3,0.5635016495264983,4
TCGA.AM.5820.COAD.C4,0.9915125678183307,1
TCGA.ED.A7PY.LIHC.C3,0.9988668094206167,4
TCGA.DD.A4NH.LIHC.C3,0.9981598489012006,4
TCGA.MJ.A68J.SARC.C3,0.8469149522364,6
TCGA.TP.A8TV.PRAD.C3,0.9965063869329983,4
