sampleID,max_prob,prediction
TCGA.QR.A6GT.PCPG.C6,0.7607881998386384,3
TCGA.AN.A0XW.BRCA.C1,0.47284745007765594,6
TCGA.AK.3433.KIRC.C3,0.8150789621714254,4
TCGA.BR.8362.STAD.C1,0.848602291916137,1
TCGA.S6.A8JX.TGCT.C1,0.7880157210677703,1
TCGA.BG.A0W1.UCEC.C4,0.893915450394176,3
TCGA.EB.A44P.SKCM.C1,0.4653669585384552,1
TCGA.AO.A12C.BRCA.C1,0.8601551605717439,1
TCGA.29.1783.OV.C2,0.7100625104385555,2
TCGA.KL.8339.KICH.C4,0.8233316331777814,4
TCGA.GM.A2DN.BRCA.C2,0.522686582313818,2
TCGA.75.6207.LUAD.C2,0.9577241524392598,4
TCGA.AR.A24T.BRCA.C6,0.8702461519385715,1
TCGA.MQ.A4LJ.MESO.C1,0.8422624819542655,1
TCGA.2L.AAQI.PAAD.C1,0.6621092872358147,6
TCGA.C8.A12N.BRCA.C2,0.6865242818223823,6
TCGA.2F.A9KW.BLCA.C4,0.6917592428525577,4
TCGA.CN.4726.HNSC.C1,0.7849279035959011,1
TCGA.UD.AAC4.MESO.C1,0.8585817454357025,1
TCGA.MK.A4N6.THCA.C6,0.9174943581490239,3
TCGA.DX.A3UF.SARC.C1,0.8495471418723946,1
TCGA.FX.A76Y.SARC.C2,0.5305076529816084,2
TCGA.L5.A4ON.ESCA.C4,0.6121666537002163,1
TCGA.L9.A743.LUAD.C6,0.7648078568531476,6
TCGA.FI.A2D2.UCEC.C4,0.8757419567749472,2
TCGA.55.8511.LUAD.C3,0.9338108675751966,1
TCGA.EJ.8472.PRAD.C3,0.902280443430112,3
TCGA.D8.A1XR.BRCA.C3,0.8833184075739555,1
TCGA.CG.4449.STAD.C1,0.8713670987572764,2
TCGA.L5.A4OP.ESCA.C1,0.721204860435083,1
TCGA.2J.AABE.PAAD.C6,0.4499956395272607,6
TCGA.A8.A09D.BRCA.C6,0.7235885472314635,1
TCGA.ED.A7XO.LIHC.C2,0.609446344937051,3
TCGA.E2.A2P6.BRCA.C3,0.9258177617899054,3
TCGA.69.7763.LUAD.C2,0.7612174186389155,2
TCGA.AO.A0JJ.BRCA.C6,0.41042305507671967,6
TCGA.E9.A227.BRCA.C1,0.45434031191090773,6
TCGA.ET.A4KN.THCA.C3,0.8905482020908735,3
TCGA.GN.A8LN.SKCM.C1,0.532206150202819,4
TCGA.AP.A05J.UCEC.C4,0.953203568725414,1
TCGA.2A.AAYO.PRAD.C2,0.42774988849384094,2
TCGA.SR.A6MX.PCPG.C3,0.7917633906028189,3
TCGA.DX.A8BV.SARC.C4,0.728676859979013,1
TCGA.B4.5835.KIRC.C4,0.9609624454165291,4
TCGA.DX.A1KZ.SARC.C4,0.5376608745063903,4
TCGA.L5.A8NS.ESCA.C1,0.8175701547342019,3
TCGA.FD.A5BX.BLCA.C4,0.5316115920245904,1
TCGA.HS.A5N7.SARC.C1,0.8753878610003986,4
TCGA.LB.A8F3.PAAD.C1,0.8974211693157405,1
TCGA.55.1592.LUAD.C6,0.6025225627985406,3
TCGA.E2.A15P.BRCA.C2,0.6203024867448871,1
TCGA.78.7540.LUAD.C3,0.7814100773994784,3
TCGA.BC.A216.LIHC.C1,0.6712349377789947,2
TCGA.DU.5854.LGG.C4,0.9147991348569009,4
TCGA.BR.4370.STAD.C1,0.7976837583671983,2
TCGA.B8.5551.KIRC.C3,0.8363903950014222,3
TCGA.VQ.A8PD.STAD.C6,0.5992373761466486,3
TCGA.D7.A748.STAD.C6,0.7669793941812874,6
TCGA.CD.A489.STAD.C1,0.6280185513938926,3
TCGA.DD.A1EI.LIHC.C1,0.5529023832036976,3
TCGA.AO.A0JI.BRCA.C4,0.5777701646753328,3
TCGA.CZ.4860.KIRC.C4,0.8721999871356887,4
TCGA.DX.A7EM.SARC.C1,0.3652382931616892,3
TCGA.93.A4JO.LUAD.C3,0.7851084431976462,3
TCGA.W5.AA2I.CHOL.C3,0.5333873794400588,1
TCGA.YL.A8SL.PRAD.C1,0.8144223311124918,4
TCGA.DX.A23V.SARC.C6,0.8362831673736428,6
TCGA.55.8514.LUAD.C4,0.8431397959820609,4
TCGA.36.1575.OV.C4,0.661679406774226,4
